Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Folsom Prison Blues	Johnny Cash		At Folsom Prison / At San Quentin						Country & Folk	5972473	162	1	1	1	25	1968	4/12/19, 12:28 AM	3/22/19, 12:41 PM	256	44100		AAC audio file					1	9/18/19, 10:12 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/At Folsom Prison _ At San Quentin/01 Folsom Prison Blues.m4a
The Long Black Veil	Johnny Cash		At Folsom Prison / At San Quentin						Country & Folk	8458781	238	1	1	7	25	1968	4/27/19, 10:51 AM	3/22/19, 12:43 PM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/At Folsom Prison _ At San Quentin/07 The Long Black Veil.m4a
Ring of Fire	Johnny Cash		16 Biggest Hits: Johnny Cash						Country	2628003	156	1	1	6	16	1963	4/27/19, 10:48 AM	4/9/04, 12:16 PM	128	44100		Purchased AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/16 Biggest Hits_ Johnny Cash/06 Ring of Fire.m4p
I Saw The Light [Single Version]	Hank Williams		The Original Singles Collection Plus [Disc 1]						Country & Folk	2710580	164	1	3	21	26	1948	4/10/19, 11:10 AM	4/10/19, 11:10 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 1]/1-21 I Saw The Light [Single Version].m4a
I Walk The Line	Johnny Cash		At Folsom Prison / At San Quentin						Country & Folk	6781450	193	1	1	19	25	1969	4/12/19, 12:28 AM	3/22/19, 12:46 PM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/At Folsom Prison _ At San Quentin/19 I Walk The Line.m4a
Your Cheatin' Heart	Hank Williams		The Original Singles Collection Plus [Disc 3]						Country & Folk	2786349	162	3	3	10	30	1953	4/10/19, 12:03 PM	4/10/19, 12:03 PM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 3]/3-10 Your Cheatin' Heart.m4a
I'm A Long Gone Daddy	Hank Williams		The Original Singles Collection Plus [Disc 1]						Country & Folk	2807383	171	1	3	18	26	1948	4/10/19, 11:09 AM	4/10/19, 11:09 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 1]/1-18 I'm A Long Gone Daddy.m4a
There's A Tear In My Beer [Demo Version]	Hank Williams		The Original Singles Collection Plus [Disc 3]						Country & Folk	2725613	166	3	3	30	30	1951	4/10/19, 12:10 PM	4/10/19, 12:10 PM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 3]/3-30 There's A Tear In My Beer [Demo Version].m4a
Lost Highway	Hank Williams		The Original Singles Collection Plus [Disc 2]						Country & Folk	2678183	162	2	3	3	28	1951	4/10/19, 11:32 AM	4/10/19, 11:32 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 2]/2-03 Lost Highway.m4a
Cold, Cold Heart	Hank Williams		The Original Singles Collection Plus [Disc 2]						Country & Folk	2691721	163	2	3	17	28	1950	4/10/19, 11:40 AM	4/10/19, 11:40 AM	128	44100		AAC audio file					1	9/17/19, 10:43 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 2]/2-17 Cold, Cold Heart.m4a
White Freight Liner Blues	Townes Van Zandt		Rear View Mirror [Live]						Country & Folk	8513282	258	1	1	10	17	1993	4/27/19, 11:13 AM	3/31/19, 4:15 PM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Townes Van Zandt/Rear View Mirror [Live]/10 White Freight Liner Blues.m4a
Highway Kind	Townes Van Zandt		High, Low And In Between/The Late Great Townes Van Zandt						Country & Folk	5129770	134	1	1	4	22	1972	4/27/19, 11:13 AM	3/27/19, 11:05 AM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Townes Van Zandt/High, Low And In Between_The Late Great Townes Van Zandt/04 Highway Kind.m4a
Blue Ridge Mountains	Townes Van Zandt		High, Low And In Between/The Late Great Townes Van Zandt						Country & Folk	4770154	130	1	1	10	22	1972	4/27/19, 11:13 AM	3/27/19, 11:08 AM	256	44100		AAC audio file					1	9/17/19, 10:58 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Townes Van Zandt/High, Low And In Between_The Late Great Townes Van Zandt/10 Blue Ridge Mountains.m4a
To Live Is To Fly	Townes Van Zandt		High, Low And In Between/The Late Great Townes Van Zandt						Country & Folk	7268877	195	1	1	7	22	1972	4/27/19, 11:13 AM	3/27/19, 11:06 AM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Townes Van Zandt/High, Low And In Between_The Late Great Townes Van Zandt/07 To Live Is To Fly.m4a
Orphan Girl	Gillian Welch		Revival						Country & Folk	7749257	237	1	1	1	10	1996	3/27/19, 1:29 PM	3/27/19, 1:28 PM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Gillian Welch/Revival/01 Orphan Girl.m4a
I'm So Lonesome I Could Cry	Hank Williams		The Original Singles Collection Plus [Disc 2]						Country & Folk	2745975	167	2	3	5	28	1949	4/10/19, 11:33 AM	4/10/19, 11:33 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 2]/2-05 I'm So Lonesome I Could Cry.m4a
Wildwood Flower	The Carter Family		The Carter Family: 1927 - 1934 [Disc 1]						Country & Folk	3179596	190	1	5	16	25	1928	4/11/19, 11:41 PM	4/10/19, 1:02 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/The Carter Family/The Carter Family_ 1927 - 1934 [Disc 1]/1-16 Wildwood Flower.m4a
Blue Moon Of Kentucky [Live]	Bill Monroe		The Music Of Bill Monroe: From 1936 To 1994 [Disc 2]						Country & Folk	5248448	162	2	4	15	24	1962	4/11/19, 11:30 PM	3/26/19, 3:46 PM	256	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Bill Monroe/The Music Of Bill Monroe_ From 1936 To 1994 [Disc 2]/2-15 Blue Moon Of Kentucky [Live].m4a
A Mansion On The Hill [Single Version]	Hank Williams		The Original Singles Collection Plus [Disc 1]						Country & Folk	2531789	155	1	3	22	26	1947	4/10/19, 11:11 AM	4/10/19, 11:10 AM	128	44100		AAC audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Hank Williams/The Original Singles Collection Plus [Disc 1]/1-22 A Mansion On The Hill [Single Version].m4a
