Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Everlong	Foo Fighters		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock/Pop	4018176	250			11			6/22/17, 3:43 PM	5/15/18, 8:58 PM	128	44100		MPEG audio file			3	1/15/11, 4:47 PM	6	6/22/17, 3:43 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:11 Everlong.mp3
The Story In Your Eyes	The Moody Blues		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	3538176	176	1	1	2	9	1971	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:38 PM	5	8/28/15, 11:57 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:02 The Story In Your Eyes.mp3
Viva la Vida	Coldplay		Viva la Vida or Death and All His Friends						Alternative	8423440	244	1	1	1	1	2008	10/7/14, 12:48 PM	5/15/18, 8:58 PM	256	44100		Purchased AAC audio file			1	12/10/10, 11:41 PM	4	7/20/16, 8:09 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Viva la Vida or Death and All His Friends:01 Viva la Vida.m4a
Breaking the Habit	Linkin Park		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3963840	198			2	21		12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	7/31/16, 12:37 PM	5	8/29/15, 12:02 AM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:02 Breaking the Habit.mp3
What I Did For Love	Priscilla Lopez		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3618777	226			22			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			2	12/11/10, 12:15 AM	1	12/7/13, 6:48 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:22 What I Did For Love.mp3
I'll Never Smile Again [The Frank Sinatra Collection]	Frank Sinatra		A Man And His Music						Pop	5465209	168	1	1	3	32	2009	2/14/10, 2:54 PM	5/15/18, 8:58 PM	256	44100		MPEG audio file		Amazon.com Song ID: 209070135	1	12/11/10, 12:09 AM	4	8/28/15, 11:54 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:A Man And His Music:03 I'll Never Smile Again [The Frank Sinatra Collection].mp3
All the Way [From the Film The Joker Is Wild]	Frank Sinatra		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Vocal	2783232	173			15			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:55 PM	3	8/29/15, 12:00 AM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:15 All the Way [From the Film The Joker Is Wild].mp3
Our Love Is Here To Stay	Nat King Cole		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Jazz	3388251	169	2	4	23	25	1953	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:11 AM	3	8/28/15, 11:56 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:2-23 Our Love Is Here To Stay.mp3
El Miraje (A Migandem)	Marcus Viana		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Pop	4308569	269					2004	12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file		http://www.mp3.uz	1	12/11/10, 12:01 AM			100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:El Miraje (A Migandem).mp3
For the Good Times	Ray Price		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3650542	228			1			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/11/10, 12:14 AM	1	10/10/14, 11:42 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:01 For the Good Times.mp3
