1,Everlong,Foo Fighters,6
2,The Story in Your Eyes,Moody Blues,15
3,Viva La Vida,Coldplay,1
4,Breaking the Habit,Linkin Park,8
5,What I Did For Love,Priscilla Lopez - (A Chorus Line),3
6,I'll Never Smile Again,Frank Sinatra,19
7,All the Way,Frank Sinatra - (The Joker Is Wild),9
8,Love Is Here to Stay,Nat King Cole,4
9,El Miraje (A Migandem),Marcus Viana - (El Clon),5
10,For the Good Times,Ray Price,7
11,True Love Ways,Buddy Holly,14
12,Flicker,Niall Horan,201
13,Afire Love,Ed Sheeran,12
14,The Prayer,Celine Dion & Andrea Bocelli,2
15,"Love Theme from ""A Star is Born"" Evergreen",Barbra Streisand,23
16,Please Let Me Wonder,Beach Boys,11
17,Rhapsody on a Theme of Paganini op. 43,Rachmaninoff,17
18,Landslide,Fleetwood Mac,29
19,You've Lost That Lovin' Feelin',Righteous Brothers,16
20,Fix You,Coldplay,13
21,Unforgettable,Nat King Cole,24
22,Don't Worry Baby,Beach Boys,30
23,Waterloo Sunset ,"Rushes, HM - Kinks",10
24,Warm Ways,Fleetwood Mac,38
25,The A Team,Ed Sheeran,51
26,"Here, There and Everywhere",Beatles,31
27,Meditation from 'Thais',Massinet,40
28,It's Up to You,Rick Nelson,39
29,Rather Be,Clean Bandit feat. Jess Glynne,32
30,Let It Be Me,Everly Brothers,25
31,Across the Universe,"Rufus Wainwright, HM - Beatles",18
32,Only Love Can Break a Heart,Gene Pitney,28
33,A Different Corner,George Michael,26
34,History of Us ,Indigo Girls,21
35,He's a Rebel,Crystals,33
36,In Dreams,Roy Orbison,20
37,Shake the Disease,Depeche Mode,55
38,Vincent,Don McLean,48
39,Up on the Roof,Drifters,49
40,How Deep Is Your Love,Bee Gees,65
41,Bridge Over Troubled Water,Simon & Garfunkel,42
42,One,Ed Sheeran,113
43,Crying,Roy Orbison,60
44,Tenerife Sea,Ed Sheeran,107
45,Someone to Watch over Me,Linda Ronstadt,70
46,Save the Best for Last,Vanessa Williams,76
47,Kiss Me Goodbye,Petula Clark,41
48,Love Will Come to You,Indigo Girls,45
49,Father and Son,Cat Stevens,59
50,If I Fell,Beatles,27
51,Traces,Dennis Yost & Classics IV,47
52,The Sweetest Days ,Vanessa Williams,22
53,Latch,Disclosure feat. Sam Smith,82
54,Go Your Own Way,Fleetwood Mac,64
55,You Can Close Your Eyes,James Taylor,43
56,The Way You Look Tonight,"Frank Sinatra, HM - Michael Buble",35
57,They Live in You, Steven E. Wright & Lion King Ensemble - (Lion King),34
58,Shroud for a Nightingale,Richard Harvey (Dalgliesh's Theme),62
59,I Can't Make You Love Me,Bonnie Raitt,75
60,Just a Kiss,Lady Antebellum,52
61,I'm Gonna Be Strong,Gene Pitney,165
62,Your Song,Elton John,86
63,Leave Right Now,Will Young,106
64,While My Guitar Gently Weeps (acoustic),Beatles - (Love),57
65,The Wonder of You,Ray Peterson,36
66,Teach Your Children,"Crosby, Stills, Nash & Young",50
67,True Love Never Runs Smooth,Gene Pitney,108
68,Smells Like Teen Spirit,Nirvana,69
69,Try Too Hard,Dave Clark Five,44
70,Circle Game,Joni Mitchell,79
71,Remember When,Alan Jackson,58
72,Un-break My Heart,Toni Braxton,56
73,Born to Run,Bruce Springsteen,83
74,Halo,Depeche Mode,73
75,One Fine Day,Chiffons,46
76,Mad World,"Gary Jules - (Donnie Darko), HM - Tears for Fears",102
77,Imagine,John Lennon,91
78,Bring Him Home,"Alfie Boe - (Les Miz), HM - Colm Wilkinson",155
79,"Betcha, By Golly, Wow",Stylistics,93
80,Nessun Dorma!,"Placido Domingo, HM - Andrea Bocelli",94
81,Love Is,Vanessa Williams & Brian McKnight,77
82,True Love,Patsy Cline,72
83,Prisoner in Disguise,Linda Ronstadt,67
84,Nick of Time,Bonnie Raitt,61
85,Take Me Tonight,Gene Pitney,54
86,I'm Not That Girl,Idina Menzel - (Wicked),37
87,Train in Vain,The Clash,110
88,If,Bread,78
89,Unchained Melody,Righteous Brothers,114
90,One,U2,115
91,Limelight,Alan Parsons Project,71
92,Nights in White Satin,Moody Blues,96
93,Just Breathe,Willie Nelson & Lucas Nelson,81
94,Policy of Truth,Depeche Mode,63
95,Enjoy the Silence,Depeche Mode,66
96,We've Only Just Begun,Carpenters,109
97,Question,Moody Blues,141
98,25 Or 6 to 4,Chicago,140
99,My Girl,Temptations,68
100,Make It With You,Bread,178
101,I Won't Last a Day Without You,Carpenters,97
102,Daniel,Elton John,128
103,Hella Good,No Doubt,131
104,Morning Has Broken,Cat Stevens,152
105,"Don't Cry for Me, Argentina",Patti Lupone - (Evita),172
106,Words,Bee Gees,95
107,Endless Love,Diana Ross & Lionel Richie,101
108,Questions 67 and 68,Chicago,153
109,Dancing Queen,Abba,125
110,Both Sides Now (2000),Joni Mitchell,80
111,Take It Easy,"Eagles, HM - Jackson Browne",121
112,Stranger on the Shore,Mr. Acker Bilk,85
113,Aquarium,Camille St. Saens,74
114,And I Love Her,Beatles   ,135
115,Another Day in Paradise,Phil Collins,100
116,To One in Paradise,Alan Parsons Project,88
117,Close to You,Carpenters,177
118,Special,Garbage,130
119,I Want To Know What Love Is,Foreigner,154
120,Lay It All On Me,Rudimental ft. Ed Sheeran,134
121,Since I Lost My Baby,Temptations,87
122,Big Wide World,Teddy Randazzo,174
123,Memory,Betty Buckley & Cynthia Onrubia (Cats),202
124,Half Heaven - Half Heartache,Gene Pitney,195
125,Tears in Heaven,Eric Clapton,199
126,Somewhere Out There,Linda Ronstadt & James Ingram,203
127,Out Here on My Own,Irene Cara - (Fame),176
128,You've Got a Friend,James Taylor,111
129,Second Avenue,Tim Moore,89
130,God Only Knows,Beach Boys,127
131,With You,Chris Brown,138
132,Long Long Time,Linda Ronstadt,90
133,How Can You Mend a Broken Heart,Bee Gees,98
134,Silver Springs,Fleetwood Mac,137
135,Crazy,Patsy Cline,132
136,So Sick,Ne-Yo,204
137,Breathe Again,Toni Braxton,157
138,People Get Ready,Impressions,84
139,I'll Be Seeing You,Frank Sinatra,205
140,It Hurts To Be in Love,Gene Pitney,187
141,Say You Love Me,Fleetwood Mac,159
142,Will You Love Me Tomorrow,Shirelles,112
143,Because,Dave Clark Five,168
144,It's Time,Imagine Dragons,167
145,You Don't Know Me,Ray Charles,166
146,The Story of My Life,One Direction,119
147,This Town,Niall Horan,160
148,Stairway to Heaven,Led Zeppelin,104
149,You Can Never Go Home,Moody Blues,123
150,Moonlight Serenade,Glenn Miller,206
151,I Can't Stop Loving You,Ray Charles,149
152,Amnesia,Five Seconds of Summer,117
153,I'm Into Something Good,Herman's Hermits,129
154,Pump It Up,Elvis Costello,207
155,Rolling in the Deep,Adele,53
156,Satellite,Guster,136
157,A Little Respect,Erasure,122
158,Something,Beatles,179
159,Siren Song,Alan Parsons,116
160,We Can Work It Out,Beatles,103
161,Zero,Chris Brown,183
162,Become You,Indigo Girls,126
163,The Fighter,Gym Class Heroes feat. Ryan Tedder,150
164,Say Something,A Great Big World &Christina Aguilera,105
165,Hold Me Now,Thompson Twins,142
166,Somewhere,Tymes,173
167,A Change Is Gonna Come,Sam Cooke,99
168,Need You Now,Lady Antebellum,145
169,Mykonos,Fleet Foxes,182
170,For My Lady ,Moody Blues,208
171,Night Changes,One Direction,209
172,You're Gonna Lose That Girl,Beatles,120
173,Never My Love,Association,92
174,Soon Be To Nothing,Indigo Girls,143
175,Goodbye Yellow Brick Road,Elton John,133
176,It's My Life,Talk Talk,210
177,Read My Mind,Killers,171
178,Smile,Nat King Cole,211
179,Lego House,Ed Sheeran,212
180,Again ,Nat King Cole,213
181,Forever Autumn,Justin Hayward,214
182,You're Just In Love (I Wonder Why),"Perry Come with Fontane Sisters, HM - Carpenters",161
183,You Won't Be There,Alan Parsons Project,175
184,Ride Wit Me,"Nelly, HM - Dag Jones with Supatroops",170
185,The World Spins Madly On,Weepies,198
186,You'll Never Know,Ella Fitzgerald,188
187,Rave On,Buddy Holly,215
188,I'm in Love,Teenage Fanclub,216
189,Dancing Barefoot,U2,181
190,I See Fire,Ed Sheeran,158
191,It's Tricky,Run-D.M.C.,217
192,There Goes My Heart,Johnny Mathis,162
193,Hymn For the Weekend,Coldplay,118
194,Piano Concerto No. 1 in B Minor,Tchaikovsky,218
195,Wonderland By Night,Bert Kaempfert,144
196,Just a Little,Beau Brummels,185
197,Yesterday,Beatles,146
198,Gravity,Sara Bareilles,163
199,The Land of Make-Believe,Moody Blues,219
200,Against All Odds,Phil Collins,156
