1,The Story in Your Eyes,Moody Blues,2,
2,Everlong,Foo Fighters,1,
3,Viva La Vida,Coldplay,3,
4,What I Did For Love,Priscilla Lopez - (A Chorus Line),5,
5,Breaking the Habit,Linkin Park,4,
6,I'll Never Smile Again,Frank Sinatra,6,
7,Flicker,Niall Horan,12,
8,Love Is Here to Stay,Nat King Cole,8,
9,Waterloo Sunset ,"Rushes, HM - Kinks",23,
10,For the Good Times,Ray Price,10,
11,Rather Be,Clean Bandit feat. Jess Glynne,29,
12,Afire Love,Ed Sheeran,13,
13,They Live in You, Steven E. Wright & Lion King Ensemble - (Lion King),57,
14,El Miraje (A Migandem),Marcus Viana - (El Clon),9,
15,True Love Ways,Buddy Holly,11,
16,Rhapsody on a Theme of Paganini op. 43,Rachmaninoff,17,
17,The Prayer,Celine Dion & Andrea Bocelli,14,
18,All the Way,Frank Sinatra - (The Joker Is Wild),7,
19,You've Lost That Lovin' Feelin',Righteous Brothers,19,
20,A Different Corner,George Michael,33,
21,The A Team,Ed Sheeran,25,
22,"Love Theme from ""A Star is Born"" Evergreen",Barbra Streisand,15,
23,In Dreams,Roy Orbison,36,
24,Warm Ways,Fleetwood Mac,24,
25,Please Let Me Wonder,Beach Boys,16,
26,History of Us ,Indigo Girls,34,
27,Unforgettable,Nat King Cole,21,
28,Landslide,Fleetwood Mac,18,
29,Only Love Can Break a Heart,Gene Pitney,32,
30,The Wonder of You,Ray Peterson,65,
31,Don't Worry Baby,Beach Boys,22,
32,I Can't Make You Love Me,Bonnie Raitt,59,
33,Meditation from 'Thais',Massinet,27,
34,Love Will Come to You,Indigo Girls,48,
35,If I Fell,Beatles,50,
36,I'm Not That Girl,Idina Menzel - (Wicked),86,
37,Fix You,Coldplay,20,
38,Vincent,Don McLean,38,
39,Shake the Disease,Depeche Mode,37,
40,Save the Best for Last,Vanessa Williams,46,
41,"Here, There and Everywhere",Beatles,26,
42,Across the Universe,"Rufus Wainwright, HM - Beatles",31,
43,Bridge Over Troubled Water,Simon & Garfunkel,41,
44,The Way You Look Tonight,"Frank Sinatra, HM - Michael Buble",56,
45,He's a Rebel,Crystals,35,
46,Up on the Roof,Drifters,39,
47,Shroud for a Nightingale,Richard Harvey (Dalgliesh's Theme),58,
48,Let It Be Me,Everly Brothers,30,
49,Go Your Own Way,Fleetwood Mac,54,
50,Father and Son,Cat Stevens,49,
51,Latch,Disclosure feat. Sam Smith,53,
52,Kiss Me Goodbye,Petula Clark,47,
53,It's Up to You,Rick Nelson,28,
54,Traces,Dennis Yost & Classics IV,51,
55,The Sweetest Days ,Vanessa Williams,52,
56,Someone to Watch over Me,Linda Ronstadt,45,
57,Nick of Time,Bonnie Raitt,84,
58,Prisoner in Disguise,Linda Ronstadt,83,
59,Limelight,Alan Parsons Project,91,
60,I'm Gonna Be Strong,Gene Pitney,61,
61,One Fine Day,Chiffons,75,
62,If,Bread,88,
63,Imagine,John Lennon,77,
64,How Deep Is Your Love,Bee Gees,40,
65,Dancing Queen,Abba,109,
66,Crying,Roy Orbison,43,
67,You Can Close Your Eyes,James Taylor,55,
68,Teach Your Children,"Crosby, Stills, Nash & Young",66,
69,Nessun Dorma!,"Placido Domingo, HM - Andrea Bocelli",80,
70,Leave Right Now,Will Young,63,
71,Just Breathe,Willie Nelson & Lucas Nelson,93,
72,One,Ed Sheeran,42,
73,You Can Never Go Home,Moody Blues,149,
74,Your Song,Elton John,62,
75,Words,Bee Gees,106,
76,Policy of Truth,Depeche Mode,94,
77,Un-break My Heart,Toni Braxton,72,
78,To One in Paradise,Alan Parsons Project,116,
79,Question,Moody Blues,97,
80,Try Too Hard,Dave Clark Five,69,
81,Just a Kiss,Lady Antebellum,60,
82,While My Guitar Gently Weeps (acoustic),Beatles - (Love),64,
83,True Love,Patsy Cline,82,
84,Take Me Tonight,Gene Pitney,85,
85,Smells Like Teen Spirit,Nirvana,68,
86,Stranger on the Shore,Mr. Acker Bilk,112,
87,Tenerife Sea,Ed Sheeran,44,
88,Train in Vain,The Clash,87,
89,True Love Never Runs Smooth,Gene Pitney,67,
90,With You,Chris Brown,131,
91,Remember When,Alan Jackson,71,
92,Mad World,"Gary Jules - (Donnie Darko), HM - Tears for Fears",76,
93,Love Is,Vanessa Williams & Brian McKnight,81,
94,How Can You Mend a Broken Heart,Bee Gees,133,
95,Endless Love,Diana Ross & Lionel Richie,107,
96,Enjoy the Silence,Depeche Mode,95,
97,Halo,Depeche Mode,74,
98,Morning Has Broken,Cat Stevens,104,
99,One,U2,90,
100,Born to Run,Bruce Springsteen,73,
101,Long Long Time,Linda Ronstadt,132,
102,Second Avenue,Tim Moore,129,
103,We've Only Just Begun,Carpenters,96,
104,You've Got a Friend,James Taylor,128,
105,Goodbye Yellow Brick Road,Elton John,175,
106,25 Or 6 to 4,Chicago,98,
107,Daniel,Elton John,102,
108,Questions 67 and 68,Chicago,108,
109,Crazy,Patsy Cline,135,
