Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Try Too Hard	The Dave Clark Five		Rob's Top 200 2018	Rob's Top 200 2018	Bill Top 200 2007				Pop	2610824	130	2	2	1	25	1966	3/9/19, 12:36 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file			2	12/11/10, 12:15 AM	12	6/2/18, 10:34 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/2-01 Try Too Hard.mp3
009-Credence Clearwater Revival - Bad Moon Rising June 1969	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						1953110	138						3/9/19, 12:36 AM	5/15/18, 8:59 PM	112	44100		MPEG audio file		rob	1	12/11/10, 12:09 AM	5	10/10/14, 11:46 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/009-Credence Clearwater Revival - Bad Moon Rising June 1969.mp3
Scarborough Fair	Simon & Garfunkel		Rob's Top 200 2018	Rob's Top 200 2018					Pop	3047599	190						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/11/10, 12:16 AM	7	5/15/18, 9:57 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Scarborough Fair.mp3
Blackbird_rob	The Beatles		Rob's Top 200 2018	Rob's Top 200 2018					Pop	3324392	138	1	2	11	17	1968	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		TRACK11.mp3 -	1	12/11/08, 4:33 AM	6	10/10/14, 11:48 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/1-11 Blackbird_rob.mp3
BBeach Boys - Darlin' (live 1980)	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2753679	137						3/9/19, 12:36 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file		rob			1	6/21/17, 11:11 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/BBeach Boys - Darlin' (live 1980).mp3
Absolutely Right	FIVE MAN ELECTRICAL BAND		Rob's Top 200 2018	Rob's Top 200 2018					Pop	2223662	138					1971	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	2	1/15/11, 4:46 PM	3	6/2/18, 10:26 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Absolutely Right.mp3
008-Paul Revere & The Raiders - Kicks Apr 1966	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2970109	147						3/9/19, 12:36 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file		rob	1	12/11/10, 12:01 AM	8	6/2/18, 10:25 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/008-Paul Revere & The Raiders - Kicks Apr 1966.mp3
God Only Knows	The Beach Boys		Rob's Top 200 2018	Rob's Top 200 2018					soundtrack	2660480	166			12			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:58 PM	6	8/28/15, 11:54 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/12 God Only Knows.mp3
Save The Best For Last	Vanessa Williams		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				R&B	4459253	222	1	2	9	15	1991	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/10/10, 11:31 PM	3	6/2/18, 9:43 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-09 Save The Best For Last.mp3
027-Rolling Stones - Brown Sugar May 1971	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						3689627	230						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/11/10, 12:06 AM	6	8/28/15, 11:51 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/027-Rolling Stones - Brown Sugar May 1971.mp3
In Dreams	Roy Orbison		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Rock/Pop	2741731	170			14			3/9/19, 12:34 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:10 PM	4	6/2/18, 10:21 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/14 In Dreams.mp3
A Big Hunk O' Love (Alternate Take)	Presley, Elvis		Rob's Top 200 2018	Rob's Top 200 2018					General Rock	2154496	134			24			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/11/10, 12:05 AM	6	8/29/15, 12:02 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/24 A Big Hunk O' Love (Alternate Take).mp3
Beyond the Sea	Bobby Darin		Rob's Top 200 2018	Rob's Top 200 2018						2785019	173						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/11/10, 12:08 AM	3	8/28/15, 11:55 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Beyond the Sea.mp3
