Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Josie	Steely Dan		Alive In America						General Rock	5947392	371			5			8/21/15, 9:58 PM	4/28/19, 12:31 PM	128	44100		MPEG audio file		rob			1	4/28/19, 1:13 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Steely Dan/Alive In America/05 Josie.mp3
When We're Old Men	Yellowcard		Lights & Sounds						Rock	4260200	212			16		2006	12/8/10, 12:32 AM	5/1/19, 4:32 PM	160	44100		MPEG audio file					1	5/1/19, 4:33 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Yellowcard/Lights & Sounds/16 When We're Old Men.mp3
You make my Dreams	Daryl Hall and John Oates		Rob's Top 200 2018	Rob's Top 200 2018						2992128	186			14			3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 10:58 PM	5	6/2/18, 6:30 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/14 You make my Dreams.mp3
It's Tricky	Run-DMC		Bill's Top 200 2018	Bill's Top 200 2018					Hip-Hop/Rap	6608499	183			2	12	1986	4/12/19, 12:18 AM	5/15/18, 10:31 PM	256	44100		Purchased AAC audio file					1	5/19/18, 11:16 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/02 It's Tricky.m4a
Here comes the sun	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018					152	2608822	185						3/9/19, 12:36 AM	5/15/18, 8:59 PM	112	44100		MPEG audio file		rob	1	7/31/16, 12:21 PM	2	7/19/16, 8:15 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Here comes the sun.mp3
Big Wide World	Teddy Randazzo		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				rock	2062336	171			17			3/9/19, 12:34 AM	5/15/18, 8:58 PM	96	44100		MPEG audio file		rob	2	6/2/18, 7:07 PM	6	8/28/15, 10:51 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/17 Big Wide World.mp3
Spare Me the Details	The Offspring		Rob's Top 200 2018	Rob's Top 200 2018						3804340	208						3/9/19, 12:36 AM	5/15/18, 8:59 PM	32	44100		MPEG audio file			1	12/10/10, 8:35 PM	3	6/2/18, 6:35 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Spare Me the Details.mp3
Become You	Indigo Girls		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Folk	4542803	227	1	1	3	12	2002	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 9:07 PM	6	10/10/14, 9:03 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/03 Become You.mp3
Revolution	Beatles		Rob's Top 200 2018	Rob's Top 200 2018						3259331	203						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file			2	4/16/16, 9:00 PM	4	6/2/18, 7:05 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Revolution.mp3
The Drugs Don't Work	The Verve		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock/Pop	4913314	305			10			3/9/19, 1:23 PM	5/15/18, 9:27 PM	128	44100		MPEG audio file			1	12/10/10, 10:00 PM	1	5/1/19, 4:33 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2006/10 The Drugs Don't Work.mp3
