1,TRY TOO HARD,DAVE CLARK FIVE,1,1966
2,BAD MOON RISING,CREEDENCE CLEARWATER REVIVAL,2,1969
3,SCARBOROUGH FAIR/CANTICLE,SIMON & GARFUNKEL,6,1968
4,BLACKBIRD,BEATLES,5,1968
5,DARLIN,BEACH BOYS,126,1967
6,ABSOLUTELY RIGHT,FIVE MAN ELECTRICAL BAND,4,1971
7,KICKS,PAUL REVERE AND THE RAIDERS,3,1966
8,GOD ONLY KNOWS,BEACH BOYS,11,1966
9,SAVE THE BEST FOR LAST,VANESSA WILLIAMS,8,1992
10,BROWN SUGAR,ROLLING STONES,13,1971
11,IN DREAMS,ROY ORBISON,9,1963
12,BIG HUNK OF LOVE,ELVIS PRESLEY,7,1959
13,BEYOND THE SEA,BOBBY DARIN,10,1959
14,MY OLD SCHOOL,STEELY DAN,12,1973
15,FORGET HIM,BOBBY RYDELL,23,1963
16,THEME FROM OUT OF AFRICA,JOHN BARRY,15,1985
17,ISLAND IN THE SUN,WEEZER,16,2001
18,IT'S ONLY ROCK & ROLL,ROLLING STONES,14,1974
19,I FEEL FINE,BEATLES,19,1965
20,TRUE LOVE WAYS,BUDDY HOLLY,25,1960
21,YOU'RE GONNA LOSE THAT GIRL,BEATLES,20,1965
22,I'LL BE BACK,BEATLES,21,1965
23,ROCK & ROLL MUSIC,CHUCK BERRY,24,1957
24,CALIFORNIA GIRLS,BEACH BOYS,29,1965
25,EVERY LITTLE THING SHE DOES IS MAGIC,POLICE,32,1981
26,READ MY MIND,THE KILLERS,27,2006
27,THE DANGLING CONVERSATION,SIMON AND GARFUNKEL,42,1966
28,ROLLING IN THE DEEP,ADELE,26,2011
29,"BABY, I NEED YOUR LOVIN'",FOUR TOPS,17,1964
30,HUMAN,THE KILLERS,31,2008
31,"HERE, THERE AND EVERYWHERE",BEATLES,41,1966
32,I DON'T WANT TO GO ON WITH YOU LIKE THAT,ELTON JOHN,30,1988
33,REACH OUT (I'LL BE THERE),FOUR TOPS,18,1966
34,RAINY DAYS AND MONDAYS,CARPENTERS,33,1971
35,(YOU'RE THE) DEVIL IN DISGUISE,ELVIS PRESLEY,36,1963
36,BITTER FINGERS,ELTON JOHN,201,1975
37,I ONLY WANT TO BE WITH YOU,DUSTY SPRINGFIELD,28,1963
38,OUT IN THE COUNTRY,THREE DOG NIGHT,37,1970
39,SHE'S LEAVING HOME,BEATLES,22,1967
40,DON'T STOP ME NOW,QUEEN,202,1978
41,EVERY PICTURE TELLS A STORY,ROD STEWART,38,1971
42,WICHITA LINEMAN,GLEN CAMPBELL,54,1968
43,WHEN WE WERE YOUNG,ADELE,66,2016
44,ROLL OVER BEETHOVEN,CHUCK BERRY,40,1956
45,BABY WORKOUT,JACKIE WILSON,35,1963
46,NEW KID IN TOWN,EAGLES,52,1976
47,BECAUSE,DAVE CLARK FIVE,74,1964
48,I'M SORRY,BRENDA LEE,43,1960
49,HEY YA!,OUTKAST,45,2003
50,DON'T KNOW WHY,NORAH JONES,48,2002
51,HOW CAN YOU MEND A BROKEN HEART,BEE GEES,53,1971
52,RESPECTABLE,ROLLING STONES,44,1978
53,SPACEMAN,THE KILLERS,49,2008
54,HOW CAN I BE SURE,RASCALS,57,1967
55,PENNY LANE,BEATLES,91,1967
56,LOVE WILL FIND A WAY,JAMES TAYLOR,51,1975
57,JUST MY IMAGINATION,TEMPTATIONS,39,1971
58,THAT'S ALL SHE WROTE,RICK NELSON,47,1963
59,HEARTBREAKER,BEE GEES,56,1979
60,IT'S UP TO YOU,RICK NELSON,59,1962
61,I GOT A LINE ON YOU,SPIRIT,102,1968
62,BERNADETTE,FOUR TOPS,61,1967
63,WHERE DID OUR LOVE GO,SUPREMES,50,1964
64,PLEASE LET ME WONDER,BEACH BOYS,60,1965
65,SUITE: JUDY BLUE EYES,"CROSBY, STILLS, NASH",73,1969
66,UP ON THE ROOF,DRIFTERS,65,1962
67,SQUEEZE BOX,WHO,62,1975
68,"FUN,FUN,FUN",BEACH BOYS,46,1964
69,ONLY LOVE CAN BREAK A HEART,GENE PITNEY,68,1962
70,SOLITARY MAN,NEIL DIAMOND,70,1970
71,FEELING STRONGER  EVERY DAY,CHICAGO,72,1973
72,EVERLONG,FOO FIGHTERS,58,1997
73,WALK AWAY RENEE,LINDA RONSTADT & ANN SAVOY,63,2006
74,SHUT UP AND DRIVE,RIHANNA,75,2007
75,EIGHT DAYS A WEEK,BEATLES,71,1965
76,I DON'T KNOW HOW TO LOVE HIM,SARA BAREILLES,203,2018
77,CAN'T GET USED TO LOSING YOU,ANDY WILLIAMS,94,1963
78,THEME FROM A SUMMER PLACE,PERCY FAITH,78,1960
79,TIME OUT OF MIND,STEELY DAN,81,1981
80,LIMBO ROCK,CHUBBY CHECKER,88,1962
81,MIDNIGHT,JOHNNY GIBSON,67,1962
82,SACRIFICE,ELTON JOHN,186,1989
83,LONG LONG TIME,LINDA RONSTADT,82,1970
84,TILL THE END OF THE DAY,KINKS,85,1966
85,CRAZY LITTLE THING CALLED LOVE,QUEEN,87,1979
86,CASINO ROYALE,HERB ALPERT & TIJUANA BRASS,89,1967
87,TEQUILLA SUNRISE,EAGLES,79,1973
88,HEY BULLDOG,BEATLES,90,1969
89,I'M INTO SOMETHING GOOD,HERMAN'S HERMITS,92,1964
90,GIRL DON'T COME,SANDIE SHAW,83,1964
91,HEY JUDE,BEATLES,101,1968
92,WANDERING,JAMES TAYLOR,34,1975
93,96 TEARS,QUESTION MARK AND THE MYSTERIANS,64,1966
94,STRANGER ON THE SHORE,MR.ACKER BILK,97,1962
95,AIN'T NOTHING LIKE THE REAL THING,MARVIN GAYE & TAMMI TERRELL,98,1968
96,7 YEARS,LUKAS GRAHAM,95,2015
97,IN MY LIFE,BEATLES,108,1966
98,PHOTOGRAPH,ED SHEERAN,194,2014
99,LOVE YOU LIKE A LOVE SONG,SELENA GOMEZ,135,2011
100,NO MILK TODAY,HERMAN'S HERMITS,99,1967
101,WON'T GET FOOLED AGAIN,WHO,86,1971
