1,BLACKBIRD,BEATLES,4
2,TRY TOO HARD,DAVE CLARK FIVE,1
3,SCARBOROUGH FAIR/CANTICLE,SIMON & GARFUNKEL,3
4,BAD MOON RISING,CREEDENCE CLEARWATER REVIVAL,2
5,ABSOLUTELY RIGHT,FIVE MAN ELECTRICAL BAND,6
6,KICKS,PAUL REVERE AND THE RAIDERS,7
7,GOD ONLY KNOWS,BEACH BOYS,8
8,BROWN SUGAR,ROLLING STONES,10
9,DARLIN,BEACH BOYS,5
10,IN DREAMS,ROY ORBISON,11
11,SAVE THE BEST FOR LAST,VANESSA WILLIAMS,9
12,BIG HUNK OF LOVE,ELVIS PRESLEY,12
13,ISLAND IN THE SUN,WEEZER,17
14,FORGET HIM,BOBBY RYDELL,15
15,RAINY DAYS AND MONDAYS,CARPENTERS,34
16,BEYOND THE SEA,BOBBY DARIN,13
17,ROLLING IN THE DEEP,ADELE,28
18,MY OLD SCHOOL,STEELY DAN,14
19,THEME FROM OUT OF AFRICA,JOHN BARRY,16
20,I FEEL FINE,BEATLES,19
21,TRUE LOVE WAYS,BUDDY HOLLY,20
22,EVERY LITTLE THING SHE DOES IS MAGIC,POLICE,25
23,YOU'RE GONNA LOSE THAT GIRL,BEATLES,21
24,IT'S ONLY ROCK & ROLL,ROLLING STONES,18
25,WHEN WE WERE YOUNG,ADELE,43
26,WICHITA LINEMAN,GLEN CAMPBELL,42
27,I'LL BE BACK,BEATLES,22
28,ROCK & ROLL MUSIC,CHUCK BERRY,23
29,"HERE, THERE AND EVERYWHERE",BEATLES,31
30,READ MY MIND,THE KILLERS,26
31,THE DANGLING CONVERSATION,SIMON AND GARFUNKEL,27
32,"BABY, I NEED YOUR LOVIN'",FOUR TOPS,29
33,HUMAN,THE KILLERS,30
34,REACH OUT (I'LL BE THERE),FOUR TOPS,33
35,DON'T STOP ME NOW,QUEEN,40
36,NEW KID IN TOWN,EAGLES,46
37,BECAUSE,DAVE CLARK FIVE,47
38,HOW CAN YOU MEND A BROKEN HEART,BEE GEES,51
39,I DON'T KNOW HOW TO LOVE HIM,SARA BAREILLES,76
40,I DON'T WANT TO GO ON WITH YOU LIKE THAT,ELTON JOHN,32
41,I ONLY WANT TO BE WITH YOU,DUSTY SPRINGFIELD,37
42,HOW CAN I BE SURE,RASCALS,54
43,SOLITARY MAN,NEIL DIAMOND,70
44,CALIFORNIA GIRLS,BEACH BOYS,24
45,ROLL OVER BEETHOVEN,CHUCK BERRY,44
46,PENNY LANE,BEATLES,55
47,EVERLONG,FOO FIGHTERS,72
48,BERNADETTE,FOUR TOPS,62
49,(YOU'RE THE) DEVIL IN DISGUISE,ELVIS PRESLEY,35
50,BITTER FINGERS,ELTON JOHN,36
51,OUT IN THE COUNTRY,THREE DOG NIGHT,38
52,SHE'S LEAVING HOME,BEATLES,39
53,EVERY PICTURE TELLS A STORY,ROD STEWART,41
54,BABY WORKOUT,JACKIE WILSON,45
55,I'M SORRY,BRENDA LEE,48
56,DON'T KNOW WHY,NORAH JONES,50
57,RESPECTABLE,ROLLING STONES,52
58,SPACEMAN,THE KILLERS,53
59,UP ON THE ROOF,DRIFTERS,66
60,CASINO ROYALE,HERB ALPERT & TIJUANA BRASS,86
61,THAT'S ALL SHE WROTE,RICK NELSON,58
62,HEARTBREAKER,BEE GEES,59
63,IT'S UP TO YOU,RICK NELSON,60
64,I GOT A LINE ON YOU,SPIRIT,61
65,JUST MY IMAGINATION,TEMPTATIONS,57
66,TIME OUT OF MIND,STEELY DAN,79
67,WHERE DID OUR LOVE GO,SUPREMES,63
68,CRAZY LITTLE THING CALLED LOVE,QUEEN,85
69,LONG LONG TIME,LINDA RONSTADT,83
70,MR. BLUE SKY,ELO,176
71,WALKING THROUGH THE COUNTRY,GRASS ROOTS,130
72,IT HURTS TO BE IN LOVE,GENE PITNEY,131
73,CAN'T GET USED TO LOSING YOU,ANDY WILLIAMS,77
74,96 TEARS,QUESTION MARK AND THE MYSTERIANS,93
75,PLEASE LET ME WONDER,BEACH BOYS,64
76,LOVE WILL FIND A WAY,JAMES TAYLOR,56
77,SUITE: JUDY BLUE EYES,"CROSBY, STILLS, NASH",65
78,"FUN,FUN,FUN",BEACH BOYS,68
79,ONLY LOVE CAN BREAK A HEART,GENE PITNEY,69
